Street,PeopleInAccidents,PIA_Scaled,SpeedDiffFromLimit,SDFL_Scaled,Score_Scaled,Tier,,,,
VARA ST,1,0.209,0.000,0.000,99.79079498,A,,,,
VARELA AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
VARNEY PL,1,0.209,0.000,0.000,99.79079498,A,,,,
VENUS ST,1,0.209,0.000,0.000,99.79079498,A,,,,
VERNON ST,1,0.209,0.000,0.000,99.79079498,A,,,,
WABASH TER,1,0.209,0.000,0.000,99.79079498,A,,,,
WALTER U LUM PL,1,0.209,0.000,0.000,99.79079498,A,,,,
WARD ST,1,0.209,0.000,0.000,99.79079498,A,,,,
WATERLOO ST,1,0.209,0.000,0.000,99.79079498,A,,,,
WAVERLY PL,1,0.209,0.000,0.000,99.79079498,A,,,,
WENTWORTH PL,1,0.209,0.000,0.000,99.79079498,A,,,,
WEST POINT RD,1,0.209,0.000,0.000,99.79079498,A,,,,
WESTGATE DR,1,0.209,0.000,0.000,99.79079498,A,,,,
WHEAT ST,1,0.209,0.000,0.000,99.79079498,A,,,,
WHITNEY YOUNG CIR,1,0.209,0.000,0.000,99.79079498,A,,,,
WHITTIER ST,1,0.209,0.000,0.000,99.79079498,A,,,,
WILDE AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
WOODACRE DR,1,0.209,0.000,0.000,99.79079498,A,,,,
WOODLAND AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
WOODWARD,1,0.209,0.000,0.000,99.79079498,A,,,,
YALE ST,1,0.209,0.000,0.000,99.79079498,A,,,,
YERBA BUENA LN,1,0.209,0.000,0.000,99.79079498,A,,,,
ZOE ST,1,0.209,0.000,0.000,99.79079498,A,,,,
33RD AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
ALBION ST,2,0.418,0.000,0.000,99.58158996,B,,,,
ANGELOS ALY,2,0.418,0.000,0.000,99.58158996,B,,,,
ANNAPOLIS TER,2,0.418,0.000,0.000,99.58158996,B,,,,
ARLINGTON ST,2,0.418,0.000,0.000,99.58158996,B,,,,
AVENUE H,2,0.418,0.000,0.000,99.58158996,B,,,,
BANKS ST,2,0.418,0.000,0.000,99.58158996,B,,,,
