Street,PeopleInAccidents,PIA_Scaled,SpeedDiffFromLimit,SDFL_Scaled,Score_Scaled,Tier
Ord St,1,0.209,0.000,0.000,99.79079498,A
Ordway St,1,0.209,0.000,0.000,99.79079498,A
Osceola Lane,1,0.209,0.000,0.000,99.79079498,A
Otsego Ave,1,0.209,0.000,0.000,99.79079498,A
Park St,1,0.209,0.000,0.000,99.79079498,A
Parque Dr,1,0.209,0.000,0.000,99.79079498,A
Patterson St,1,0.209,0.000,0.000,99.79079498,A
Pioche St,1,0.209,0.000,0.000,99.79079498,A
Polaris Way,1,0.209,0.000,0.000,99.79079498,A
Pollard Pl,1,0.209,0.000,0.000,99.79079498,A
Powhattan Ave,1,0.209,0.000,0.000,99.79079498,A
Pretor Way,1,0.209,0.000,0.000,99.79079498,A
Prospect Ave,1,0.209,0.000,0.000,99.79079498,A
Quincy St,1,0.209,0.000,0.000,99.79079498,A
Ralston St,1,0.209,0.000,0.000,99.79079498,A
Ramsell St,1,0.209,0.000,0.000,99.79079498,A
Rausch St,1,0.209,0.000,0.000,99.79079498,A
Raymond Ave,1,0.209,0.000,0.000,99.79079498,A
Reddy St,1,0.209,0.000,0.000,99.79079498,A
Retiro Way,1,0.209,0.000,0.000,99.79079498,A
Reuel Ct,1,0.209,0.000,0.000,99.79079498,A
Ridgewood Ave,1,0.209,0.000,0.000,99.79079498,A
Rincon St,1,0.209,0.000,0.000,99.79079498,A
Ringold St,1,0.209,0.000,0.000,99.79079498,A
Rio Verde St,1,0.209,0.000,0.000,99.79079498,A
Rondel Pl,1,0.209,0.000,0.000,99.79079498,A
Roselyn Terrace,1,0.209,0.000,0.000,99.79079498,A
Rosenkranz St,1,0.209,0.000,0.000,99.79079498,A
Saint Francis Blvd,1,0.209,0.000,0.000,99.79079498,A
Saint George Aly,1,0.209,0.000,0.000,99.79079498,A
San Anselmo Ave,1,0.209,0.000,0.000,99.79079498,A
San Benito Way,1,0.209,0.000,0.000,99.79079498,A
San Bruno Av Off Ramp,1,0.209,0.000,0.000,99.79079498,A
San Bruno Av On Ramp,1,0.209,0.000,0.000,99.79079498,A
San Jose Av Off Ramp,1,0.209,0.000,0.000,99.79079498,A
San Jose Av On Ramp,1,0.209,0.000,0.000,99.79079498,A
San Leandro Way,1,0.209,0.000,0.000,99.79079498,A
Sargent St,1,0.209,0.000,0.000,99.79079498,A
Schwerin St,1,0.209,0.000,0.000,99.79079498,A
Scotia Ave,1,0.209,0.000,0.000,99.79079498,A
See Narrative,1,0.209,0.000,0.000,99.79079498,A
Serrano Dr,1,0.209,0.000,0.000,99.79079498,A
Shawnee Ave,1,0.209,0.000,0.000,99.79079498,A
Sheridan St,1,0.209,0.000,0.000,99.79079498,A
Sixth St,1,0.209,0.000,0.000,99.79079498,A
Southwood Dr,1,0.209,0.000,0.000,99.79079498,A
Spring St,1,0.209,0.000,0.000,99.79079498,A
Staples Ave,1,0.209,0.000,0.000,99.79079498,A
Steuart St,1,0.209,0.000,0.000,99.79079498,A
Summit Way,1,0.209,0.000,0.000,99.79079498,A
Sunview Dr,1,0.209,0.000,0.000,99.79079498,A
Sutro Heights Ave,1,0.209,0.000,0.000,99.79079498,A
Sweeny St,1,0.209,0.000,0.000,99.79079498,A
Sylvan Dr,1,0.209,0.000,0.000,99.79079498,A
Tara St,1,0.209,0.000,0.000,99.79079498,A
Telegraph Hill Blvd,1,0.209,0.000,0.000,99.79079498,A
Texas St,1,0.209,0.000,0.000,99.79079498,A
Thomas More Way,1,0.209,0.000,0.000,99.79079498,A
Tunnel Ave,1,0.209,0.000,0.000,99.79079498,A
Ulloa,1,0.209,0.000,0.000,99.79079498,A
Unnamed 042,1,0.209,0.000,0.000,99.79079498,A
Valerton Ct,1,0.209,0.000,0.000,99.79079498,A
Vara St,1,0.209,0.000,0.000,99.79079498,A
Varela Ave,1,0.209,0.000,0.000,99.79079498,A
Varney Pl,1,0.209,0.000,0.000,99.79079498,A
Venus St,1,0.209,0.000,0.000,99.79079498,A
Vernon St,1,0.209,0.000,0.000,99.79079498,A
Wabash Ter,1,0.209,0.000,0.000,99.79079498,A
Walter U Lum Pl,1,0.209,0.000,0.000,99.79079498,A
Ward St,1,0.209,0.000,0.000,99.79079498,A
Waterloo St,1,0.209,0.000,0.000,99.79079498,A
Waverly Pl,1,0.209,0.000,0.000,99.79079498,A
Wentworth Pl,1,0.209,0.000,0.000,99.79079498,A
West Point Rd,1,0.209,0.000,0.000,99.79079498,A
Westgate Dr,1,0.209,0.000,0.000,99.79079498,A
Wheat St,1,0.209,0.000,0.000,99.79079498,A
Whitney Young Cir,1,0.209,0.000,0.000,99.79079498,A
Whittier St,1,0.209,0.000,0.000,99.79079498,A
Wilde Ave,1,0.209,0.000,0.000,99.79079498,A
Woodacre Dr,1,0.209,0.000,0.000,99.79079498,A
Woodland Ave,1,0.209,0.000,0.000,99.79079498,A
Woodward,1,0.209,0.000,0.000,99.79079498,A
Yale St,1,0.209,0.000,0.000,99.79079498,A
Yerba Buena Ln,1,0.209,0.000,0.000,99.79079498,A
Zoe St,1,0.209,0.000,0.000,99.79079498,A
33rd Ave,2,0.418,0.000,0.000,99.58158996,B
Albion St,2,0.418,0.000,0.000,99.58158996,B
Angelos Aly,2,0.418,0.000,0.000,99.58158996,B
Annapolis Ter,2,0.418,0.000,0.000,99.58158996,B
Arlington St,2,0.418,0.000,0.000,99.58158996,B
Avenue H,2,0.418,0.000,0.000,99.58158996,B
Banks St,2,0.418,0.000,0.000,99.58158996,B
Bannock St,2,0.418,0.000,0.000,99.58158996,B
Bartol St,2,0.418,0.000,0.000,99.58158996,B
Bayview Cir,2,0.418,0.000,0.000,99.58158996,B
Beaver St,2,0.418,0.000,0.000,99.58158996,B
Belle Ave,2,0.418,0.000,0.000,99.58158996,B
Bernice St,2,0.418,0.000,0.000,99.58158996,B
Bitting Ave,2,0.418,0.000,0.000,99.58158996,B
Bluxome St,2,0.418,0.000,0.000,99.58158996,B
Bonita St,2,0.418,0.000,0.000,99.58158996,B
Breen Pl,2,0.418,0.000,0.000,99.58158996,B
Brighton Ave,2,0.418,0.000,0.000,99.58158996,B
China Basin St,2,0.418,0.000,0.000,99.58158996,B
Chumasero Dr,2,0.418,0.000,0.000,99.58158996,B
Church Access Rd,2,0.418,0.000,0.000,99.58158996,B
Concord St,2,0.418,0.000,0.000,99.58158996,B
Coral Rd,2,0.418,0.000,0.000,99.58158996,B
Cumberland St,2,0.418,0.000,0.000,99.58158996,B
Dartmouth St,2,0.418,0.000,0.000,99.58158996,B
Day St,2,0.418,0.000,0.000,99.58158996,B
Dearborn St,2,0.418,0.000,0.000,99.58158996,B
Dedman Ct,2,0.418,0.000,0.000,99.58158996,B
Dorantes Ave,2,0.418,0.000,0.000,99.58158996,B
Dormitory Rd,2,0.418,0.000,0.000,99.58158996,B
Downey St,2,0.418,0.000,0.000,99.58158996,B
Edna St,2,0.418,0.000,0.000,99.58158996,B
Elgin Park,2,0.418,0.000,0.000,99.58158996,B
Elizabeth St,2,0.418,0.000,0.000,99.58158996,B
Federal St,2,0.418,0.000,0.000,99.58158996,B
Fern St,2,0.418,0.000,0.000,99.58158996,B
Florentine Ave,2,0.418,0.000,0.000,99.58158996,B
Flournoy St,2,0.418,0.000,0.000,99.58158996,B
Foerster St,2,0.418,0.000,0.000,99.58158996,B
Foote Ave,2,0.418,0.000,0.000,99.58158996,B
Fowler Ave,2,0.418,0.000,0.000,99.58158996,B
Galindo Ave,2,0.418,0.000,0.000,99.58158996,B
Goettingen St,2,0.418,0.000,0.000,99.58158996,B
Gonzalez Dr,2,0.418,0.000,0.000,99.58158996,B
Grace St,2,0.418,0.000,0.000,99.58158996,B
Hamilton St,2,0.418,0.000,0.000,99.58158996,B
Harrington St,2,0.418,0.000,0.000,99.58158996,B
Hattie St,2,0.418,0.000,0.000,99.58158996,B
Havenside Dr,2,0.418,0.000,0.000,99.58158996,B
Hawes St,2,0.418,0.000,0.000,99.58158996,B
Hearst Ave,2,0.418,0.000,0.000,99.58158996,B
Henry Adams St,2,0.418,0.000,0.000,99.58158996,B
Hill Point Ave,2,0.418,0.000,0.000,99.58158996,B
Hilton St,2,0.418,0.000,0.000,99.58158996,B
Humboldt St,2,0.418,0.000,0.000,99.58158996,B
Huron Ave,2,0.418,0.000,0.000,99.58158996,B
Hwy 101 N Off Ramp,2,0.418,0.000,0.000,99.58158996,B
Jack London Aly,2,0.418,0.000,0.000,99.58158996,B
Jessie East St,2,0.418,0.000,0.000,99.58158996,B
Julia St,2,0.418,0.000,0.000,99.58158996,B
Justin Dr,2,0.418,0.000,0.000,99.58158996,B
Kensington Way,2,0.418,0.000,0.000,99.58158996,B
Kiska Rd,2,0.418,0.000,0.000,99.58158996,B
Lafayette St,2,0.418,0.000,0.000,99.58158996,B
Landers St,2,0.418,0.000,0.000,99.58158996,B
Langton St,2,0.418,0.000,0.000,99.58158996,B
Laura St,2,0.418,0.000,0.000,99.58158996,B
Ledyard St,2,0.418,0.000,0.000,99.58158996,B
Lessing St,2,0.418,0.000,0.000,99.58158996,B
Lopez Ave,2,0.418,0.000,0.000,99.58158996,B
Lucy St,2,0.418,0.000,0.000,99.58158996,B
Mary St,2,0.418,0.000,0.000,99.58158996,B
Maynard St,2,0.418,0.000,0.000,99.58158996,B
Mccoppin St,2,0.418,0.000,0.000,99.58158996,B
Michigan St,2,0.418,0.000,0.000,99.58158996,B
Midway St,2,0.418,0.000,0.000,99.58158996,B
Mission Bay Blvd North,2,0.418,0.000,0.000,99.58158996,B
Mission Bay Blvd South,2,0.418,0.000,0.000,99.58158996,B
Mission Bay Dr,2,0.418,0.000,0.000,99.58158996,B
Morse St,2,0.418,0.000,0.000,99.58158996,B
Moss St,2,0.418,0.000,0.000,99.58158996,B
Munich St,2,0.418,0.000,0.000,99.58158996,B
Nancy Pelosi Dr,2,0.418,0.000,0.000,99.58158996,B
Nelson Rising Ln,2,0.418,0.000,0.000,99.58158996,B
Oak Grove St,2,0.418,0.000,0.000,99.58158996,B
Ottawa Ave,2,0.418,0.000,0.000,99.58158996,B
Owens St,2,0.418,0.000,0.000,99.58158996,B
Panorama Dr,2,0.418,0.000,0.000,99.58158996,B
Pilgrim Ave,2,0.418,0.000,0.000,99.58158996,B
Plaza St,2,0.418,0.000,0.000,99.58158996,B
Pleasant St,2,0.418,0.000,0.000,99.58158996,B
Plum St,2,0.418,0.000,0.000,99.58158996,B
Powers Ave,2,0.418,0.000,0.000,99.58158996,B
Princeton St,2,0.418,0.000,0.000,99.58158996,B
Ramona Ave,2,0.418,0.000,0.000,99.58158996,B
Roosevelt Way,2,0.418,0.000,0.000,99.58158996,B
Roselyn Ter,2,0.418,0.000,0.000,99.58158996,B
San Carlos St,2,0.418,0.000,0.000,99.58158996,B
San Marcos Ave,2,0.418,0.000,0.000,99.58158996,B
Santa Clara Ave,2,0.418,0.000,0.000,99.58158996,B
Sawyer St,2,0.418,0.000,0.000,99.58158996,B
Shipley St,2,0.418,0.000,0.000,99.58158996,B
South Hill Blvd,2,0.418,0.000,0.000,99.58158996,B
St Charles Ave,2,0.418,0.000,0.000,99.58158996,B
Stanford St,2,0.418,0.000,0.000,99.58158996,B
State Dr,2,0.418,0.000,0.000,99.58158996,B
States St,2,0.418,0.000,0.000,99.58158996,B
Stoneybrook Ave,2,0.418,0.000,0.000,99.58158996,B
Thomas Mellon Dr,2,0.418,0.000,0.000,99.58158996,B
Tiffany Ave,2,0.418,0.000,0.000,99.58158996,B
Tompkins Ave,2,0.418,0.000,0.000,99.58158996,B
Topeka Ave,2,0.418,0.000,0.000,99.58158996,B
Trainor St,2,0.418,0.000,0.000,99.58158996,B
Treasure Island Rd,2,0.418,0.000,0.000,99.58158996,B
Velasco Ave,2,0.418,0.000,0.000,99.58158996,B
Ver Mehr Pl,2,0.418,0.000,0.000,99.58158996,B
Wayland St,2,0.418,0.000,0.000,99.58158996,B
Whitney St,2,0.418,0.000,0.000,99.58158996,B
Wiese St,2,0.418,0.000,0.000,99.58158996,B
Wilmot St,2,0.418,0.000,0.000,99.58158996,B
Yosemite Ave,2,0.418,0.000,0.000,99.58158996,B
48th Ave,3,0.628,0.000,0.000,99.37238494,B
Acadia St,3,0.628,0.000,0.000,99.37238494,B
Amazon Ave,3,0.628,0.000,0.000,99.37238494,B
Annie St,3,0.628,0.000,0.000,99.37238494,B
Appleton Ave,3,0.628,0.000,0.000,99.37238494,B
Arellano Ave,3,0.628,0.000,0.000,99.37238494,B
Bayview St,3,0.628,0.000,0.000,99.37238494,B
Blake St,3,0.628,0.000,0.000,99.37238494,B
Blanken Ave,3,0.628,0.000,0.000,99.37238494,B
Boardman Pl,3,0.628,0.000,0.000,99.37238494,B
Cardenas Ave,3,0.628,0.000,0.000,99.37238494,B
Carolina St,3,0.628,0.000,0.000,99.37238494,B
Carr St,3,0.628,0.000,0.000,99.37238494,B
Cesar Chavez On Ramp,3,0.628,0.000,0.000,99.37238494,B
Chain Of Lakes Dr,3,0.628,0.000,0.000,99.37238494,B
Clearfield Dr,3,0.628,0.000,0.000,99.37238494,B
College Terrace,3,0.628,0.000,0.000,99.37238494,B
Corbett Ave,3,0.628,0.000,0.000,99.37238494,B
Crane St,3,0.628,0.000,0.000,99.37238494,B
Dakota St,3,0.628,0.000,0.000,99.37238494,B
De Long St,3,0.628,0.000,0.000,99.37238494,B
Delano Ave,3,0.628,0.000,0.000,99.37238494,B
Donahue St,3,0.628,0.000,0.000,99.37238494,B
Douglass St,3,0.628,0.000,0.000,99.37238494,B
Dunshee St,3,0.628,0.000,0.000,99.37238494,B
Elm St,3,0.628,0.000,0.000,99.37238494,B
Elsie St,3,0.628,0.000,0.000,99.37238494,B
Eucalyptus Dr,3,0.628,0.000,0.000,99.37238494,B
Eureka St,3,0.628,0.000,0.000,99.37238494,B
Exeter St,3,0.628,0.000,0.000,99.37238494,B
Fair Oaks St,3,0.628,0.000,0.000,99.37238494,B
Farragut Ave,3,0.628,0.000,0.000,99.37238494,B
Forest View Dr,3,0.628,0.000,0.000,99.37238494,B
Frida Kahlo Way,3,0.628,0.000,0.000,99.37238494,B
Garfield St,3,0.628,0.000,0.000,99.37238494,B
Gold Mine Dr,3,0.628,0.000,0.000,99.37238494,B
